inst#,actual,predicted,error,prediction
1796,1:no,1:no,,0.676
1797,1:no,1:no,,0.844
1798,1:no,1:no,,0.791
1799,1:no,1:no,,0.851
1800,1:no,1:no,,0.802
1801,1:no,1:no,,0.874
1802,1:no,1:no,,0.838
1803,1:no,1:no,,0.892
1804,1:no,1:no,,0.813
1805,1:no,1:no,,0.877
1806,1:no,1:no,,0.824
1807,1:no,1:no,,0.897
1808,1:no,1:no,,0.764
1809,1:no,1:no,,0.882
1810,1:no,1:no,,0.716
1811,1:no,1:no,,0.886
1812,1:no,1:no,,0.77
1813,1:no,1:no,,0.88
1814,1:no,1:no,,0.763
1815,1:no,1:no,,0.9
1816,1:no,1:no,,0.826
1817,1:no,1:no,,0.861
1818,1:no,1:no,,0.817
1819,1:no,1:no,,0.844
1820,1:no,1:no,,0.72
1821,1:no,1:no,,0.845
1822,1:no,1:no,,0.725
1823,1:no,1:no,,0.845
1824,1:no,1:no,,0.725
1825,1:no,1:no,,0.904
1826,1:no,1:no,,0.837
1827,1:no,1:no,,0.91
1828,1:no,1:no,,0.905
1829,1:no,1:no,,0.838
1830,1:no,1:no,,0.897
1831,1:no,1:no,,0.806
1832,1:no,1:no,,0.637
1833,1:no,1:no,,0.833
1834,1:no,1:no,,0.654
1835,2:yes,2:yes,,0.791
1836,1:no,1:no,,0.802
1837,1:no,2:yes,+,0.622
1838,1:no,1:no,,0.844
1839,1:no,1:no,,0.817
1840,1:no,1:no,,0.606
1841,1:no,1:no,,0.795
1842,1:no,1:no,,0.532
1843,1:no,1:no,,0.795
1844,1:no,1:no,,0.543
1845,1:no,1:no,,0.792
1846,1:no,1:no,,0.555
1847,1:no,1:no,,0.809
1848,1:no,1:no,,0.563
1849,1:no,1:no,,0.828
1850,1:no,1:no,,0.579
1851,1:no,1:no,,0.833
1852,1:no,1:no,,0.589
1853,1:no,1:no,,0.833
1854,1:no,1:no,,0.593
1855,1:no,1:no,,0.833
1856,1:no,1:no,,0.593
1857,1:no,1:no,,0.824
1858,1:no,1:no,,0.601
1859,1:no,1:no,,0.883
1860,1:no,1:no,,0.695
1861,1:no,1:no,,0.896
1862,1:no,1:no,,0.6
1863,1:no,1:no,,0.912
1864,1:no,1:no,,0.641
1865,1:no,1:no,,0.912
1866,1:no,1:no,,0.619
1867,1:no,1:no,,0.908
1868,1:no,1:no,,0.663
1869,1:no,1:no,,0.908
1870,1:no,1:no,,0.663
1871,1:no,1:no,,0.793
1872,1:no,1:no,,0.735
1873,1:no,1:no,,0.775
1874,1:no,1:no,,0.79
1875,1:no,1:no,,0.778
1876,1:no,1:no,,0.811
1877,1:no,1:no,,0.746
1878,1:no,1:no,,0.625
1879,1:no,1:no,,0.638
1880,1:no,1:no,,0.78
1881,1:no,1:no,,0.783
1882,1:no,1:no,,0.614
1883,2:yes,1:no,+,0.652
1884,2:yes,1:no,+,0.668
1885,1:no,1:no,,0.623
1886,1:no,1:no,,0.867
1887,1:no,1:no,,0.812
1888,1:no,1:no,,0.748
1889,1:no,1:no,,0.755
1890,1:no,1:no,,0.785
1891,1:no,1:no,,0.858
1892,1:no,1:no,,0.681
1893,1:no,1:no,,0.756
1894,1:no,1:no,,0.883
1895,1:no,1:no,,0.786
1896,1:no,1:no,,0.811
1897,1:no,1:no,,0.815
1898,1:no,1:no,,0.787
1899,1:no,1:no,,0.871
1900,1:no,1:no,,0.762
1901,1:no,1:no,,0.681
1902,1:no,1:no,,0.696
1903,1:no,1:no,,0.775
1904,1:no,1:no,,0.869
1905,1:no,1:no,,0.795
1906,1:no,1:no,,0.663
1907,1:no,1:no,,0.776
1908,1:no,1:no,,0.777
1909,1:no,1:no,,0.873
1910,1:no,1:no,,0.774
1911,1:no,1:no,,0.772
1912,1:no,1:no,,0.79
1913,1:no,1:no,,0.791
1914,1:no,1:no,,0.894
1915,1:no,1:no,,0.826
1916,1:no,1:no,,0.831
1917,1:no,1:no,,0.844
1918,1:no,1:no,,0.807
1919,1:no,1:no,,0.889
1920,1:no,1:no,,0.801
1921,1:no,1:no,,0.814
1922,1:no,1:no,,0.829
1923,1:no,1:no,,0.799
1924,1:no,1:no,,0.793
1925,1:no,1:no,,0.76
1926,1:no,1:no,,0.757
1927,1:no,1:no,,0.836
1928,1:no,1:no,,0.812
1929,1:no,1:no,,0.783
1930,1:no,1:no,,0.851
1931,1:no,1:no,,0.606
1932,1:no,1:no,,0.608
1933,1:no,1:no,,0.824
1934,1:no,1:no,,0.858
1935,1:no,1:no,,0.723
1936,1:no,1:no,,0.701
1937,1:no,1:no,,0.605
1938,1:no,1:no,,0.584
1939,1:no,1:no,,0.532
1940,1:no,2:yes,+,0.515
1941,2:yes,2:yes,,0.83
1942,2:yes,2:yes,,0.84
1943,1:no,1:no,,0.524
1944,2:yes,2:yes,,0.748
1945,2:yes,2:yes,,0.838
1946,1:no,1:no,,0.873
1947,1:no,1:no,,0.813
1948,1:no,1:no,,0.726
1949,1:no,1:no,,0.887
1950,1:no,1:no,,0.858
1951,1:no,1:no,,0.791
1952,1:no,1:no,,0.865
1953,1:no,1:no,,0.687
1954,1:no,1:no,,0.643
1955,1:no,1:no,,0.866
1956,1:no,1:no,,0.702
1957,1:no,1:no,,0.656
1958,1:no,1:no,,0.866
1959,1:no,1:no,,0.774
1960,1:no,1:no,,0.752
1961,1:no,1:no,,0.892
1962,1:no,1:no,,0.849
1963,1:no,1:no,,0.76
1964,1:no,1:no,,0.878
1965,1:no,1:no,,0.868
1966,1:no,1:no,,0.785
1967,1:no,1:no,,0.883
1968,1:no,1:no,,0.69
1969,1:no,1:no,,0.593
1970,1:no,1:no,,0.883
1971,1:no,1:no,,0.691
1972,1:no,1:no,,0.599
1973,1:no,1:no,,0.896
1974,1:no,1:no,,0.775
1975,1:no,1:no,,0.754
1976,1:no,1:no,,0.9
1977,1:no,1:no,,0.718
1978,1:no,1:no,,0.769
1979,1:no,1:no,,0.902
1980,1:no,1:no,,0.862
1981,1:no,1:no,,0.777
1982,1:no,1:no,,0.889
1983,1:no,1:no,,0.872
1984,1:no,1:no,,0.794
1985,1:no,1:no,,0.891
1986,1:no,1:no,,0.684
1987,1:no,1:no,,0.644
1988,1:no,1:no,,0.893
1989,1:no,1:no,,0.686
1990,1:no,1:no,,0.652
1991,1:no,1:no,,0.905
1992,1:no,1:no,,0.865
1993,1:no,1:no,,0.79
1994,1:no,1:no,,0.891
1995,1:no,1:no,,0.874
1996,1:no,1:no,,0.805
1997,1:no,1:no,,0.895
1998,1:no,1:no,,0.691
1999,1:no,1:no,,0.663
2000,1:no,1:no,,0.895
2001,1:no,1:no,,0.691
2002,1:no,1:no,,0.663
2003,1:no,1:no,,0.895
2004,1:no,1:no,,0.691
2005,1:no,1:no,,0.663
2006,1:no,1:no,,0.905
2007,1:no,1:no,,0.865
2008,1:no,1:no,,0.792
2009,1:no,1:no,,0.905
2010,1:no,1:no,,0.898
2011,1:no,1:no,,0.86
2012,1:no,1:no,,0.892
2013,1:no,1:no,,0.775
2014,1:no,1:no,,0.782
2015,1:no,1:no,,0.892
2016,1:no,1:no,,0.775
2017,1:no,1:no,,0.782
2018,1:no,1:no,,0.892
2019,1:no,1:no,,0.775
2020,1:no,1:no,,0.782
2021,1:no,1:no,,0.892
2022,1:no,1:no,,0.775
2023,1:no,1:no,,0.782
2024,1:no,1:no,,0.905
2025,1:no,1:no,,0.865
2026,1:no,1:no,,0.792
2027,1:no,1:no,,0.896
2028,1:no,1:no,,0.873
2029,1:no,1:no,,0.844
2030,1:no,1:no,,0.869
2031,1:no,1:no,,0.732
2032,1:no,1:no,,0.729
2033,1:no,1:no,,0.869
2034,1:no,1:no,,0.781
2035,1:no,1:no,,0.803
2036,1:no,1:no,,0.869
2037,1:no,1:no,,0.732
2038,1:no,1:no,,0.729
2039,1:no,1:no,,0.869
2040,1:no,1:no,,0.732
2041,1:no,1:no,,0.729
2042,1:no,1:no,,0.905
2043,1:no,1:no,,0.865
2044,1:no,1:no,,0.792
2045,1:no,1:no,,0.91
2046,1:no,1:no,,0.905
2047,1:no,1:no,,0.833
2048,1:no,1:no,,0.907
2049,1:no,1:no,,0.738
2050,1:no,1:no,,0.725
2051,1:no,1:no,,0.907
2052,1:no,1:no,,0.738
2053,1:no,1:no,,0.725
2054,1:no,1:no,,0.907
2055,1:no,1:no,,0.738
2056,1:no,1:no,,0.725
2057,1:no,1:no,,0.907
2058,1:no,1:no,,0.738
2059,1:no,1:no,,0.725
2060,1:no,1:no,,0.918
2061,1:no,1:no,,0.758
2062,1:no,1:no,,0.741
2063,1:no,1:no,,0.907
2064,1:no,1:no,,0.738
2065,1:no,1:no,,0.725
2066,1:no,1:no,,0.907
2067,1:no,1:no,,0.738
2068,1:no,1:no,,0.725
2069,1:no,1:no,,0.907
2070,1:no,1:no,,0.738
2071,1:no,1:no,,0.806
2072,1:no,1:no,,0.907
2073,1:no,1:no,,0.738
2074,1:no,1:no,,0.725
2075,1:no,1:no,,0.907
2076,1:no,1:no,,0.738
2077,1:no,1:no,,0.725
2078,1:no,1:no,,0.905
2079,1:no,1:no,,0.865
2080,1:no,1:no,,0.792
2081,1:no,1:no,,0.898
2082,1:no,1:no,,0.881
2083,1:no,1:no,,0.822
2084,1:no,1:no,,0.898
2085,1:no,1:no,,0.709
2086,1:no,1:no,,0.675
2087,1:no,1:no,,0.898
2088,1:no,1:no,,0.709
2089,1:no,1:no,,0.675
2090,1:no,1:no,,0.898
2091,1:no,1:no,,0.709
2092,1:no,1:no,,0.675
2093,1:no,1:no,,0.898
2094,1:no,1:no,,0.709
2095,1:no,1:no,,0.675
2096,1:no,1:no,,0.903
2097,1:no,1:no,,0.801
2098,1:no,1:no,,0.786
2099,1:no,1:no,,0.905
2100,1:no,1:no,,0.865
2101,1:no,1:no,,0.792
2102,1:no,1:no,,0.891
2103,1:no,1:no,,0.874
2104,1:no,1:no,,0.807
2105,1:no,1:no,,0.896
2106,1:no,1:no,,0.692
2107,1:no,1:no,,0.663
2108,1:no,1:no,,0.896
2109,1:no,1:no,,0.778
2110,1:no,1:no,,0.663
2111,1:no,1:no,,0.837
2112,1:no,1:no,,0.692
2113,1:no,1:no,,0.663
2114,1:no,1:no,,0.896
2115,1:no,1:no,,0.778
2116,1:no,1:no,,0.663
2117,1:no,1:no,,0.896
2118,1:no,1:no,,0.692
2119,1:no,1:no,,0.663
2120,1:no,1:no,,0.902
2121,1:no,1:no,,0.78
2122,1:no,1:no,,0.777
2123,1:no,1:no,,0.699
2124,1:no,1:no,,0.591
2125,1:no,2:yes,+,0.53
2126,1:no,1:no,,0.772
2127,1:no,1:no,,0.769
2128,1:no,1:no,,0.615
2129,1:no,1:no,,0.831
2130,1:no,1:no,,0.644
2131,1:no,1:no,,0.576
2132,1:no,2:yes,+,0.625
2133,2:yes,2:yes,,0.608
2134,1:no,1:no,,0.867
2135,1:no,1:no,,0.752
2136,1:no,1:no,,0.77
2137,1:no,1:no,,0.843
2138,1:no,1:no,,0.736
2139,1:no,1:no,,0.748
2140,1:no,1:no,,0.86
2141,1:no,1:no,,0.761
2142,1:no,1:no,,0.783
2143,1:no,1:no,,0.794
2144,1:no,1:no,,0.798
2145,1:no,1:no,,0.739
2146,1:no,1:no,,0.837
2147,1:no,1:no,,0.743
2148,1:no,1:no,,0.726
2149,1:no,1:no,,0.856
2150,1:no,1:no,,0.772
2151,1:no,1:no,,0.749
2152,1:no,1:no,,0.863
2153,1:no,1:no,,0.781
2154,1:no,1:no,,0.664
2155,1:no,1:no,,0.867
2156,1:no,1:no,,0.776
2157,1:no,1:no,,0.772
2158,1:no,1:no,,0.873
2159,1:no,1:no,,0.785
2160,1:no,1:no,,0.776
2161,1:no,1:no,,0.873
2162,1:no,1:no,,0.785
2163,1:no,1:no,,0.776
2164,1:no,1:no,,0.869
2165,1:no,1:no,,0.78
2166,1:no,1:no,,0.764
2167,1:no,1:no,,0.874
2168,1:no,1:no,,0.79
2169,1:no,1:no,,0.77
2170,1:no,1:no,,0.779
2171,1:no,1:no,,0.738
2172,1:no,1:no,,0.792
2173,2:yes,1:no,+,0.716
2174,1:no,1:no,,0.837
2175,1:no,1:no,,0.84
2176,1:no,1:no,,0.711
2177,1:no,1:no,,0.851
2178,1:no,1:no,,0.78
2179,1:no,1:no,,0.837
2180,1:no,1:no,,0.75
2181,1:no,1:no,,0.837
2182,1:no,1:no,,0.755
2183,1:no,1:no,,0.869
2184,1:no,1:no,,0.747
2185,1:no,1:no,,0.852
2186,1:no,1:no,,0.786
2187,1:no,1:no,,0.856
2188,1:no,1:no,,0.735
2189,1:no,1:no,,0.87
2190,1:no,1:no,,0.757
2191,1:no,1:no,,0.867
2192,1:no,1:no,,0.758
2193,1:no,1:no,,0.895
2194,1:no,1:no,,0.806
2195,1:no,1:no,,0.892
2196,1:no,1:no,,0.813
2197,1:no,1:no,,0.887
2198,1:no,1:no,,0.838
2199,1:no,1:no,,0.889
2200,1:no,1:no,,0.783
2201,1:no,1:no,,0.885
2202,1:no,1:no,,0.777
2203,1:no,1:no,,0.898
2204,1:no,1:no,,0.818
2205,1:no,1:no,,0.901
2206,1:no,1:no,,0.821
2207,1:no,1:no,,0.793
2208,1:no,1:no,,0.703
2209,1:no,1:no,,0.813
2210,1:no,1:no,,0.619
2211,1:no,1:no,,0.831
2212,2:yes,1:no,+,0.634
2213,1:no,1:no,,0.844
2214,1:no,1:no,,0.858
2215,1:no,1:no,,0.668
2216,1:no,1:no,,0.869
2217,1:no,1:no,,0.713
2218,1:no,1:no,,0.837
2219,1:no,1:no,,0.611
2220,1:no,1:no,,0.844
2221,1:no,1:no,,0.609
2222,1:no,1:no,,0.873
2223,1:no,1:no,,0.704
2224,1:no,1:no,,0.89
2225,1:no,1:no,,0.77
2226,1:no,1:no,,0.887
2227,1:no,1:no,,0.662
2228,1:no,1:no,,0.888
2229,1:no,1:no,,0.703
2230,1:no,1:no,,0.894
2231,1:no,1:no,,0.707
2232,1:no,1:no,,0.894
2233,1:no,1:no,,0.707
2234,1:no,1:no,,0.89
2235,1:no,1:no,,0.696
2236,1:no,1:no,,0.894
2237,1:no,1:no,,0.7
2238,1:no,1:no,,0.894
2239,1:no,1:no,,0.7
2240,1:no,1:no,,0.907
2241,1:no,1:no,,0.752
2242,1:no,1:no,,0.909
2243,1:no,1:no,,0.754
2244,1:no,1:no,,0.909
2245,1:no,1:no,,0.76
2246,1:no,1:no,,0.91
2247,1:no,1:no,,0.765
2248,1:no,1:no,,0.902
2249,1:no,1:no,,0.774
2250,1:no,1:no,,0.89
2251,1:no,1:no,,0.817
2252,1:no,1:no,,0.908
2253,1:no,1:no,,0.803
2254,1:no,1:no,,0.909
2255,1:no,1:no,,0.805
2256,1:no,1:no,,0.92
2257,1:no,1:no,,0.831
2258,1:no,1:no,,0.882
2259,1:no,1:no,,0.784
2260,1:no,1:no,,0.785
2261,1:no,1:no,,0.681
2262,1:no,1:no,,0.703
2263,1:no,1:no,,0.712
2264,1:no,1:no,,0.661
2265,1:no,1:no,,0.826
2266,1:no,1:no,,0.741
2267,1:no,1:no,,0.758
2268,1:no,1:no,,0.769
2269,1:no,1:no,,0.732
2270,1:no,1:no,,0.838
2271,1:no,1:no,,0.656
2272,1:no,1:no,,0.659
2273,1:no,1:no,,0.669
2274,1:no,1:no,,0.605
2275,1:no,1:no,,0.813
2276,1:no,1:no,,0.811
2277,1:no,1:no,,0.596
2278,1:no,1:no,,0.617
2279,1:no,1:no,,0.621
2280,1:no,1:no,,0.633
2281,1:no,1:no,,0.843
2282,1:no,1:no,,0.673
2283,1:no,1:no,,0.695
2284,1:no,1:no,,0.706
2285,1:no,1:no,,0.675
2286,1:no,1:no,,0.737
2287,1:no,1:no,,0.596
2288,1:no,1:no,,0.615
2289,1:no,1:no,,0.625
2290,1:no,1:no,,0.591
2291,1:no,1:no,,0.634
2292,2:yes,2:yes,,0.757
2293,2:yes,2:yes,,0.753
2294,2:yes,2:yes,,0.751
2295,2:yes,2:yes,,0.752
2296,1:no,1:no,,0.847
2297,1:no,1:no,,0.709
2298,1:no,1:no,,0.716
2299,1:no,1:no,,0.727
2300,1:no,1:no,,0.699
2301,1:no,1:no,,0.876
2302,1:no,1:no,,0.798
2303,1:no,1:no,,0.806
2304,1:no,1:no,,0.814
2305,1:no,1:no,,0.758
2306,1:no,1:no,,0.851
2307,1:no,1:no,,0.744
2308,1:no,1:no,,0.75
2309,1:no,1:no,,0.762
2310,1:no,1:no,,0.737
2311,1:no,1:no,,0.866
2312,1:no,1:no,,0.735
2313,1:no,1:no,,0.742
2314,1:no,1:no,,0.756
2315,1:no,1:no,,0.717
2316,1:no,1:no,,0.855
2317,1:no,1:no,,0.685
2318,1:no,1:no,,0.702
2319,1:no,1:no,,0.713
2320,1:no,1:no,,0.581
2321,1:no,1:no,,0.866
2322,1:no,1:no,,0.735
2323,1:no,1:no,,0.742
2324,1:no,1:no,,0.756
2325,1:no,1:no,,0.717
2326,1:no,1:no,,0.874
2327,1:no,1:no,,0.802
2328,1:no,1:no,,0.803
2329,1:no,1:no,,0.805
2330,1:no,1:no,,0.785
2331,1:no,1:no,,0.878
2332,1:no,1:no,,0.727
2333,1:no,1:no,,0.727
2334,1:no,1:no,,0.732
2335,1:no,1:no,,0.633
2336,1:no,1:no,,0.866
2337,1:no,1:no,,0.72
2338,1:no,1:no,,0.721
2339,1:no,1:no,,0.776
2340,1:no,1:no,,0.613
2341,1:no,1:no,,0.868
2342,1:no,1:no,,0.772
2343,1:no,1:no,,0.773
2344,1:no,1:no,,0.756
2345,1:no,1:no,,0.875
2346,1:no,1:no,,0.751
2347,1:no,1:no,,0.758
2348,1:no,1:no,,0.766
2349,1:no,1:no,,0.739
2350,1:no,1:no,,0.876
2351,1:no,1:no,,0.802
2352,1:no,1:no,,0.802
2353,1:no,1:no,,0.804
2354,1:no,1:no,,0.79
2355,1:no,1:no,,0.867
2356,1:no,1:no,,0.738
2357,1:no,1:no,,0.738
2358,1:no,1:no,,0.744
2359,1:no,1:no,,0.633
2360,1:no,1:no,,0.861
2361,1:no,1:no,,0.719
2362,1:no,1:no,,0.719
2363,1:no,1:no,,0.767
2364,1:no,1:no,,0.609
2365,1:no,1:no,,0.862
2366,1:no,1:no,,0.777
2367,1:no,1:no,,0.743
2368,1:no,1:no,,0.877
2369,1:no,1:no,,0.758
2370,1:no,1:no,,0.764
2371,1:no,1:no,,0.772
2372,1:no,1:no,,0.742
2373,1:no,1:no,,0.871
2374,1:no,1:no,,0.772
2375,1:no,1:no,,0.778
2376,1:no,1:no,,0.789
2377,1:no,1:no,,0.765
2378,1:no,1:no,,0.872
2379,1:no,1:no,,0.714
2380,1:no,1:no,,0.723
2381,1:no,1:no,,0.74
2382,1:no,1:no,,0.609
2383,1:no,1:no,,0.872
2384,1:no,1:no,,0.714
2385,1:no,1:no,,0.723
2386,1:no,1:no,,0.758
2387,1:no,1:no,,0.609
2388,1:no,1:no,,0.877
2389,1:no,1:no,,0.758
2390,1:no,1:no,,0.764
2391,1:no,1:no,,0.772
2392,1:no,1:no,,0.742
2393,1:no,1:no,,0.865
2394,1:no,1:no,,0.723
2395,1:no,1:no,,0.735
2396,1:no,1:no,,0.741
2397,1:no,1:no,,0.678
2398,1:no,1:no,,0.873
2399,1:no,1:no,,0.815
2400,1:no,1:no,,0.815
2401,1:no,1:no,,0.817
2402,1:no,1:no,,0.787
2403,1:no,1:no,,0.881
2404,1:no,1:no,,0.726
2405,1:no,1:no,,0.766
2406,1:no,1:no,,0.776
2407,1:no,1:no,,0.677
2408,1:no,1:no,,0.892
2409,1:no,1:no,,0.867
2410,1:no,1:no,,0.75
2411,1:no,1:no,,0.753
2412,1:no,1:no,,0.761
2413,1:no,1:no,,0.666
2414,1:no,1:no,,0.877
2415,1:no,1:no,,0.758
2416,1:no,1:no,,0.764
2417,1:no,1:no,,0.772
2418,1:no,1:no,,0.742
2419,1:no,1:no,,0.795
2420,1:no,1:no,,0.701
2421,1:no,1:no,,0.717
2422,1:no,1:no,,0.725
2423,1:no,1:no,,0.692
2424,1:no,1:no,,0.737
2425,1:no,2:yes,+,0.603
2426,1:no,2:yes,+,0.6
2427,1:no,2:yes,+,0.531
2428,1:no,2:yes,+,0.625
2429,1:no,1:no,,0.877
2430,1:no,1:no,,0.758
2431,1:no,1:no,,0.764
2432,1:no,1:no,,0.772
2433,1:no,1:no,,0.742
2434,1:no,1:no,,0.892
2435,1:no,1:no,,0.816
2436,1:no,1:no,,0.823
2437,1:no,1:no,,0.83
2438,1:no,1:no,,0.796
2439,1:no,1:no,,0.882
2440,1:no,1:no,,0.791
2441,1:no,1:no,,0.797
2442,1:no,1:no,,0.778
2443,1:no,1:no,,0.877
2444,1:no,1:no,,0.758
2445,1:no,1:no,,0.764
2446,1:no,1:no,,0.772
2447,1:no,1:no,,0.742
2448,1:no,1:no,,0.878
2449,1:no,1:no,,0.731
2450,1:no,1:no,,0.758
2451,1:no,1:no,,0.778
2452,1:no,1:no,,0.63
2453,1:no,1:no,,0.877
2454,1:no,1:no,,0.758
2455,1:no,1:no,,0.764
2456,1:no,1:no,,0.772
2457,1:no,1:no,,0.742
2458,1:no,1:no,,0.882
2459,1:no,1:no,,0.816
2460,1:no,1:no,,0.816
2461,1:no,1:no,,0.818
2462,1:no,1:no,,0.793
2463,1:no,1:no,,0.895
2464,1:no,1:no,,0.765
2465,1:no,1:no,,0.766
2466,1:no,1:no,,0.771
2467,1:no,1:no,,0.67
2468,1:no,1:no,,0.87
2469,1:no,1:no,,0.742
2470,1:no,1:no,,0.742
2471,1:no,1:no,,0.797
2472,1:no,1:no,,0.636
2473,1:no,1:no,,0.877
2474,1:no,1:no,,0.758
2475,1:no,1:no,,0.764
2476,1:no,1:no,,0.772
2477,1:no,1:no,,0.742
2478,1:no,1:no,,0.877
2479,1:no,1:no,,0.804
2480,1:no,1:no,,0.803
2481,1:no,1:no,,0.805
2482,1:no,1:no,,0.791
2483,1:no,1:no,,0.87
2484,1:no,1:no,,0.745
2485,1:no,1:no,,0.745
2486,1:no,1:no,,0.791
2487,1:no,1:no,,0.639
2488,1:no,1:no,,0.863
2489,1:no,1:no,,0.724
2490,1:no,1:no,,0.725
2491,1:no,1:no,,0.777
2492,1:no,1:no,,0.614
2493,1:no,1:no,,0.877
2494,1:no,1:no,,0.758
2495,1:no,1:no,,0.764
2496,1:no,1:no,,0.772
2497,1:no,1:no,,0.742
2498,1:no,1:no,,0.871
2499,1:no,1:no,,0.772
2500,1:no,1:no,,0.778
2501,1:no,1:no,,0.789
2502,1:no,1:no,,0.765
2503,1:no,1:no,,0.873
2504,1:no,1:no,,0.714
2505,1:no,1:no,,0.723
2506,1:no,1:no,,0.74
2507,1:no,1:no,,0.609
2508,1:no,1:no,,0.873
2509,1:no,1:no,,0.714
2510,1:no,1:no,,0.723
2511,1:no,1:no,,0.76
2512,1:no,1:no,,0.609
2513,1:no,1:no,,0.785
2514,1:no,1:no,,0.723
2515,1:no,1:no,,0.676
2516,1:no,1:no,,0.826
2517,1:no,1:no,,0.777
2518,1:no,1:no,,0.746
2519,1:no,1:no,,0.838
2520,1:no,1:no,,0.724
2521,1:no,1:no,,0.655
2522,1:no,1:no,,0.813
2523,1:no,1:no,,0.708
2524,1:no,1:no,,0.845
2525,1:no,1:no,,0.682
2526,1:no,1:no,,0.694
2527,1:no,1:no,,0.712
2528,1:no,1:no,,0.633
2529,1:no,1:no,,0.585
2530,1:no,1:no,,0.706
2531,1:no,2:yes,+,0.591
2532,1:no,2:yes,+,0.528
2533,1:no,1:no,,0.717
2534,1:no,1:no,,0.546
2535,1:no,1:no,,0.543
2536,1:no,1:no,,0.713
2537,1:no,2:yes,+,0.561
2538,1:no,1:no,,0.556
2539,1:no,1:no,,0.855
2540,1:no,1:no,,0.731
2541,1:no,1:no,,0.725
2542,1:no,1:no,,0.848
2543,1:no,1:no,,0.791
2544,1:no,1:no,,0.764
2545,1:no,1:no,,0.818
2546,1:no,1:no,,0.617
2547,1:no,1:no,,0.697
2548,1:no,1:no,,0.818
2549,1:no,1:no,,0.621
2550,1:no,1:no,,0.693
2551,1:no,1:no,,0.818
2552,1:no,1:no,,0.61
2553,1:no,1:no,,0.692
2554,1:no,1:no,,0.841
2555,1:no,1:no,,0.627
2556,1:no,1:no,,0.651
2557,1:no,1:no,,0.866
2558,1:no,1:no,,0.739
2559,1:no,1:no,,0.747
2560,1:no,1:no,,0.881
2561,1:no,1:no,,0.826
2562,1:no,1:no,,0.801
2563,1:no,1:no,,0.845
2564,1:no,1:no,,0.716
2565,1:no,1:no,,0.742
2566,1:no,1:no,,0.847
2567,1:no,1:no,,0.727
2568,1:no,1:no,,0.773
2569,1:no,1:no,,0.875
2570,1:no,1:no,,0.769
2571,1:no,1:no,,0.774
2572,1:no,1:no,,0.877
2573,1:no,1:no,,0.785
2574,1:no,1:no,,0.782
2575,1:no,1:no,,0.885
2576,1:no,1:no,,0.826
2577,1:no,1:no,,0.806
2578,1:no,1:no,,0.868
2579,1:no,1:no,,0.707
2580,1:no,1:no,,0.748
2581,1:no,1:no,,0.868
2582,1:no,1:no,,0.707
2583,1:no,1:no,,0.748
2584,1:no,1:no,,0.877
2585,1:no,1:no,,0.785
2586,1:no,1:no,,0.782
2587,1:no,1:no,,0.865
2588,1:no,1:no,,0.654
2589,1:no,1:no,,0.708
2590,1:no,1:no,,0.877
2591,1:no,1:no,,0.785
2592,1:no,1:no,,0.782
2593,1:no,1:no,,0.863
2594,1:no,1:no,,0.8
2595,1:no,1:no,,0.788
2596,1:no,1:no,,0.866
2597,1:no,1:no,,0.655
2598,1:no,1:no,,0.711
2599,1:no,1:no,,0.846
2600,1:no,1:no,,0.645
2601,1:no,1:no,,0.744
2602,1:no,1:no,,0.868
2603,1:no,1:no,,0.755
2604,1:no,1:no,,0.746
2605,1:no,1:no,,0.877
2606,1:no,1:no,,0.785
2607,1:no,1:no,,0.782
2608,1:no,1:no,,0.863
2609,1:no,1:no,,0.821
2610,1:no,1:no,,0.79
2611,1:no,1:no,,0.839
2612,1:no,1:no,,0.73
2613,1:no,1:no,,0.762
2614,1:no,1:no,,0.841
2615,1:no,1:no,,0.708
2616,1:no,1:no,,0.734
2617,1:no,1:no,,0.806
2618,1:no,1:no,,0.759
2619,1:no,1:no,,0.779
2620,1:no,1:no,,0.8
2621,1:no,1:no,,0.812
2622,1:no,1:no,,0.806
2623,1:no,1:no,,0.805
2624,1:no,1:no,,0.747
2625,1:no,1:no,,0.767
2626,1:no,1:no,,0.781
2627,1:no,1:no,,0.786
2628,1:no,1:no,,0.794
2629,1:no,1:no,,0.817
2630,1:no,1:no,,0.629
2631,1:no,1:no,,0.635
2632,1:no,1:no,,0.683
2633,1:no,1:no,,0.767
2634,1:no,1:no,,0.798
2635,1:no,1:no,,0.814
2636,1:no,1:no,,0.554
2637,1:no,1:no,,0.544
2638,1:no,1:no,,0.578
2639,1:no,1:no,,0.536
2640,1:no,1:no,,0.713
2641,1:no,1:no,,0.537
2642,2:yes,2:yes,,0.76
2643,2:yes,2:yes,,0.745
2644,2:yes,2:yes,,0.739
2645,2:yes,2:yes,,0.726
2646,2:yes,2:yes,,0.688
2647,1:no,1:no,,0.835
2648,1:no,1:no,,0.534
2649,1:no,2:yes,+,0.503
2650,1:no,1:no,,0.659
2651,1:no,1:no,,0.59
2652,1:no,1:no,,0.698
2653,1:no,1:no,,0.813
2654,1:no,1:no,,0.51
2655,1:no,2:yes,+,0.514
2656,1:no,1:no,,0.636
2657,1:no,1:no,,0.582
2658,1:no,1:no,,0.676
2659,1:no,1:no,,0.872
2660,1:no,1:no,,0.501
2661,1:no,1:no,,0.507
2662,1:no,1:no,,0.667
2663,1:no,1:no,,0.625
2664,1:no,1:no,,0.659
