idCell,specId,TableOrder,Content,concepts,semanticTypes
72578,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9",Cyclosporine,"C0010592, C0010594","Amino Acid, Peptide, or Protein (aapp), Immunologic Factor (imft)"
72579,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution (transient elevations in serum creatinine)","C0042153, C0457083, C1947944, C0040704, C0205374, C0702240, C0201976, C0600061","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Population Group (popg), Temporal Concept (tmco), Spatial Concept (spco), Laboratory Procedure (lbpr), Finding (fndg)"
72580,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution (transient elevations in serum creatinine)","C0042153, C0457083, C1947944, C0040704, C0205374, C0702240, C0201976, C0600061","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Population Group (popg), Temporal Concept (tmco), Spatial Concept (spco), Laboratory Procedure (lbpr), Finding (fndg)"
72581,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Monitor renal function (in particular serum creatinine) when ciprofloxacin is co-administered with cyclosporine.","C0030695, C0150369, C0181904, C0596972, C1521743, C1704646, C0008809, C3245499, C1521801, C0010592, C0010594, C0232804, C0201976, C0600061","Health Care Activity (hlca), Health Care Activity (hlca), Medical Device (medd), Medical Device (medd), Professional or Occupational Group (prog), Manufactured Object (mnob), Organic Chemical (orch), Geographic Area (geoa), Functional Concept (ftcn), Amino Acid, Peptide, or Protein (aapp), Immunologic Factor (imft), Organ or Tissue Function (ortf), Laboratory Procedure (lbpr), Finding (fndg)"
72582,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Monitor renal function (in particular serum creatinine) when ciprofloxacin is co-administered with cyclosporine.","C0030695, C0150369, C0181904, C0596972, C1521743, C1704646, C0008809, C3245499, C1521801, C0010592, C0010594, C0232804, C0201976, C0600061","Health Care Activity (hlca), Health Care Activity (hlca), Medical Device (medd), Medical Device (medd), Professional or Occupational Group (prog), Manufactured Object (mnob), Organic Chemical (orch), Geographic Area (geoa), Functional Concept (ftcn), Amino Acid, Peptide, or Protein (aapp), Immunologic Factor (imft), Organ or Tissue Function (ortf), Laboratory Procedure (lbpr), Finding (fndg)"
72583,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Anti-coagulant drugs",C0848112,"Therapeutic or Preventive Procedure (topp)"
72584,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution (Increase in anticoagulant effect)","C0042153, C0457083, C1947944, C0442805, C0520996","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Functional Concept (ftcn), Organ or Tissue Function (ortf)"
72585,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution (Increase in anticoagulant effect)","C0042153, C0457083, C1947944, C0442805, C0520996","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Functional Concept (ftcn), Organ or Tissue Function (ortf)"
72586,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","The risk may vary with the underlying infection, age and general status of the patient so that the contribution of ciprofloxacin to the increase in INR (international normalized ratio) is difficult to assess. Monitor prothrombin time and INR frequently during and shortly after co-administration of ciprofloxacin with an oral anti-coagulant (for example, warfarin).","C0035647, C0001779, C0030705, C2360836, C2360838, C2360840, C0037640, C1880177, C0008809, C0442805, C0525032, C1704538, C0332218, C1299586, C0040363, C0041260, C1883351, C1516048, C0030695, C0150369, C0181904, C0596972, C1521743, C1704646, C0525032, C1704538, C0332183, C0814472, C0008809, C0442027, C0848112, C3536711, C1707959, C0043031, C0749769, C0947124, C0525032, C0033707, C0482694","Idea or Concept (idcn), Organism Attribute (orga), Patient or Disabled Group (podg), Clinical Attribute (clna), Clinical Attribute (clna), Clinical Attribute (clna), Geographic Area (geoa), Activity (acty), Organic Chemical (orch), Functional Concept (ftcn), Laboratory Procedure (lbpr), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Finding (fndg), Geographic Area (geoa), Amino Acid, Peptide, or Protein (aapp), Qualitative Concept (qlco), Activity (acty), Health Care Activity (hlca), Health Care Activity (hlca), Medical Device (medd), Medical Device (medd), Professional or Occupational Group (prog), Manufactured Object (mnob), Laboratory Procedure (lbpr), Therapeutic or Preventive Procedure (topp), Temporal Concept (tmco), Health Care Activity (hlca), Organic Chemical (orch), Spatial Concept (spco), Therapeutic or Preventive Procedure (topp), Pharmacologic Substance (phsu), Conceptual Entity (cnce), Hazardous or Poisonous Substance (hops), Disease or Syndrome (dsyn), Finding (fndg), L"
72587,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","The risk may vary with the underlying infection, age and general status of the patient so that the contribution of ciprofloxacin to the increase in INR (international normalized ratio) is difficult to assess. Monitor prothrombin time and INR frequently during and shortly after co-administration of ciprofloxacin with an oral anti-coagulant (for example, warfarin).","C0035647, C0001779, C0030705, C2360836, C2360838, C2360840, C0037640, C1880177, C0008809, C0442805, C0525032, C1704538, C0332218, C1299586, C0040363, C0041260, C1883351, C1516048, C0030695, C0150369, C0181904, C0596972, C1521743, C1704646, C0525032, C1704538, C0332183, C0814472, C0008809, C0442027, C0848112, C3536711, C1707959, C0043031, C0749769, C0947124, C0525032, C0033707, C0482694","Idea or Concept (idcn), Organism Attribute (orga), Patient or Disabled Group (podg), Clinical Attribute (clna), Clinical Attribute (clna), Clinical Attribute (clna), Geographic Area (geoa), Activity (acty), Organic Chemical (orch), Functional Concept (ftcn), Laboratory Procedure (lbpr), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Finding (fndg), Geographic Area (geoa), Amino Acid, Peptide, or Protein (aapp), Qualitative Concept (qlco), Activity (acty), Health Care Activity (hlca), Health Care Activity (hlca), Medical Device (medd), Medical Device (medd), Professional or Occupational Group (prog), Manufactured Object (mnob), Laboratory Procedure (lbpr), Therapeutic or Preventive Procedure (topp), Temporal Concept (tmco), Health Care Activity (hlca), Organic Chemical (orch), Spatial Concept (spco), Therapeutic or Preventive Procedure (topp), Pharmacologic Substance (phsu), Conceptual Entity (cnce), Hazardous or Poisonous Substance (hops), Disease or Syndrome (dsyn), Finding (fndg), L"
72588,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9",Methotrexate,C0025677,"Organic Chemical (orch)"
72589,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution Inhibition of methotrexate renal tubular transport potentially leading to increased methotrexate plasma levels","C0042153, C0457083, C1947944, C0021467, C0021469, C1628982, C3463820, C0025677, C0332152, C1522538, C0205217, C0442805, C0202421, C0032105, C1550098, C0597373","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Mental Process (menp), Molecular Function (moft), Quantitative Concept (qnco), Activity (acty), Organic Chemical (orch), Temporal Concept (tmco), Functional Concept (ftcn), Quantitative Concept (qnco), Functional Concept (ftcn), Laboratory Procedure (lbpr), Body Substance (bdsu), Body Substance (bdsu), Organ or Tissue Function (ortf)"
72590,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution Inhibition of methotrexate renal tubular transport potentially leading to increased methotrexate plasma levels","C0042153, C0457083, C1947944, C0021467, C0021469, C1628982, C3463820, C0025677, C0332152, C1522538, C0205217, C0442805, C0202421, C0032105, C1550098, C0597373","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Mental Process (menp), Molecular Function (moft), Quantitative Concept (qnco), Activity (acty), Organic Chemical (orch), Temporal Concept (tmco), Functional Concept (ftcn), Quantitative Concept (qnco), Functional Concept (ftcn), Laboratory Procedure (lbpr), Body Substance (bdsu), Body Substance (bdsu), Organ or Tissue Function (ortf)"
72591,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Potential increase in the risk of methotrexate associated toxic reactions. Therefore, carefully monitor patients under methotrexate therapy when concomitant ciprofloxacin therapy is indicated.","C3245505, C0442805, C0035647, C0025677, C0332281, C0030695, C0150369, C0181904, C0596972, C1521743, C1704646, C0030705, C0025677, C0039798, C0087111, C1363945, C1707479, C0008809, C1444656, C0542243","Qualitative Concept (qlco), Functional Concept (ftcn), Idea or Concept (idcn), Organic Chemical (orch), Qualitative Concept (qlco), Health Care Activity (hlca), Health Care Activity (hlca), Medical Device (medd), Medical Device (medd), Professional or Occupational Group (prog), Manufactured Object (mnob), Patient or Disabled Group (podg), Organic Chemical (orch), Functional Concept (ftcn), Therapeutic or Preventive Procedure (topp), Finding (fndg), Therapeutic or Preventive Procedure (topp), Organic Chemical (orch), Finding (fndg), Finding (fndg)"
72592,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Potential increase in the risk of methotrexate associated toxic reactions. Therefore, carefully monitor patients under methotrexate therapy when concomitant ciprofloxacin therapy is indicated.","C3245505, C0442805, C0035647, C0025677, C0332281, C0030695, C0150369, C0181904, C0596972, C1521743, C1704646, C0030705, C0025677, C0039798, C0087111, C1363945, C1707479, C0008809, C1444656, C0542243","Qualitative Concept (qlco), Functional Concept (ftcn), Idea or Concept (idcn), Organic Chemical (orch), Qualitative Concept (qlco), Health Care Activity (hlca), Health Care Activity (hlca), Medical Device (medd), Medical Device (medd), Professional or Occupational Group (prog), Manufactured Object (mnob), Patient or Disabled Group (podg), Organic Chemical (orch), Functional Concept (ftcn), Therapeutic or Preventive Procedure (topp), Finding (fndg), Therapeutic or Preventive Procedure (topp), Organic Chemical (orch), Finding (fndg), Finding (fndg)"
72593,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9",Ropinirole,C0244821,"Organic Chemical (orch)"
72594,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution","C0042153, C0457083, C1947944","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr)"
72595,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution","C0042153, C0457083, C1947944","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr)"
72596,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Monitoring for ropinirole-related adverse reactions and appropriate dose adjustment of ropinirole is recommended during and shortly after co-administration with ciprofloxacin  [see ( )].
                                        Warnings and Precautions
                              5.15
                           ","C0150369, C1283169, C1516647, C0244821, C0439849, C0445223, C1548787, C0244821, C0034866, C0814472, C0008809, C0042789, C1947903, C0559546, C2826232, C0871599, C1882442, C0450371","Health Care Activity (hlca), Health Care Activity (hlca), Research Activity (resa), Organic Chemical (orch), Qualitative Concept (qlco), Finding (fndg), Qualitative Concept (qlco), Organic Chemical (orch), Idea or Concept (idcn), Health Care Activity (hlca), Organic Chemical (orch), Organism Function (orgf), Activity (acty), Pathologic Function (patf), Health Care Activity (hlca), Governmental or Regulatory Activity (gora), Conceptual Entity (cnce), Organism Attribute (orga)"
72597,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Monitoring for ropinirole-related adverse reactions and appropriate dose adjustment of ropinirole is recommended during and shortly after co-administration with ciprofloxacin  [see ( )].
                                        Warnings and Precautions
                              5.15
                           ","C0150369, C1283169, C1516647, C0244821, C0439849, C0445223, C1548787, C0244821, C0034866, C0814472, C0008809, C0042789, C1947903, C0559546, C2826232, C0871599, C1882442, C0450371","Health Care Activity (hlca), Health Care Activity (hlca), Research Activity (resa), Organic Chemical (orch), Qualitative Concept (qlco), Finding (fndg), Qualitative Concept (qlco), Organic Chemical (orch), Idea or Concept (idcn), Health Care Activity (hlca), Organic Chemical (orch), Organism Function (orgf), Activity (acty), Pathologic Function (patf), Health Care Activity (hlca), Governmental or Regulatory Activity (gora), Conceptual Entity (cnce), Organism Attribute (orga)"
72598,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9",Clozapine,C0009079,"Organic Chemical (orch)"
72599,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution","C0042153, C0457083, C1947944","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr)"
72600,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution","C0042153, C0457083, C1947944","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr)"
72601,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Careful monitoring of clozapine associated adverse reactions and appropriate adjustment of clozapine dosage during and shortly after co-administration with ciprofloxacin are advised.","C1947933, C0150369, C1283169, C1516647, C0009079, C0332281, C1548787, C0376209, C0456081, C0683269, C0009079, C0178602, C0814472, C0008809, C0559546","Activity (acty), Health Care Activity (hlca), Health Care Activity (hlca), Research Activity (resa), Organic Chemical (orch), Qualitative Concept (qlco), Qualitative Concept (qlco), Individual Behavior (inbe), Functional Concept (ftcn), Individual Behavior (inbe), Organic Chemical (orch), Quantitative Concept (qnco), Health Care Activity (hlca), Organic Chemical (orch), Pathologic Function (patf)"
72602,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Careful monitoring of clozapine associated adverse reactions and appropriate adjustment of clozapine dosage during and shortly after co-administration with ciprofloxacin are advised.","C1947933, C0150369, C1283169, C1516647, C0009079, C0332281, C1548787, C0376209, C0456081, C0683269, C0009079, C0178602, C0814472, C0008809, C0559546","Activity (acty), Health Care Activity (hlca), Health Care Activity (hlca), Research Activity (resa), Organic Chemical (orch), Qualitative Concept (qlco), Qualitative Concept (qlco), Individual Behavior (inbe), Functional Concept (ftcn), Individual Behavior (inbe), Organic Chemical (orch), Quantitative Concept (qnco), Health Care Activity (hlca), Organic Chemical (orch), Pathologic Function (patf)"
72603,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9",NSAIDs,C0003211,"Pharmacologic Substance (phsu)"
72604,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution","C0042153, C0457083, C1947944","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr)"
72605,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution","C0042153, C0457083, C1947944","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr)"
72606,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Non-steroidal anti-inflammatory drugs (but not acetyl salicylic acid) in combination of very high doses of quinolones have been shown to provoke convulsions in pre-clinical studies and in postmarketing.","C1518422, C0205195, C1947911, C3811910, C0178602, C0034428, C1533693, C1547282, C0040363, C0041260, C1883351, C0036572, C1709630, C0332152, C0740175, C2257086, C3669034, C0947630, C0003211, C0004057, C0442804, C0008972","Functional Concept (ftcn), Qualitative Concept (qlco), Physical Object (phob), Finding (fndg), Quantitative Concept (qnco), Organic Chemical (orch), Organic Chemical (orch), Animal (anim), Geographic Area (geoa), Amino Acid, Peptide, or Protein (aapp), Qualitative Concept (qlco), Sign or Symptom (sosy), Qualitative Concept (qlco), Temporal Concept (tmco), Qualitative Concept (qlco), Genetic Function (genf), Mammal (mamm), Laboratory Procedure (lbpr), Pharmacologic Substance (phsu), Organic Chemical (orch), Finding (fndg), Research Activity (resa)"
72607,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Non-steroidal anti-inflammatory drugs (but not acetyl salicylic acid) in combination of very high doses of quinolones have been shown to provoke convulsions in pre-clinical studies and in postmarketing.","C1518422, C0205195, C1947911, C3811910, C0178602, C0034428, C1533693, C1547282, C0040363, C0041260, C1883351, C0036572, C1709630, C0332152, C0740175, C2257086, C3669034, C0947630, C0003211, C0004057, C0442804, C0008972","Functional Concept (ftcn), Qualitative Concept (qlco), Physical Object (phob), Finding (fndg), Quantitative Concept (qnco), Organic Chemical (orch), Organic Chemical (orch), Animal (anim), Geographic Area (geoa), Amino Acid, Peptide, or Protein (aapp), Qualitative Concept (qlco), Sign or Symptom (sosy), Qualitative Concept (qlco), Temporal Concept (tmco), Qualitative Concept (qlco), Genetic Function (genf), Mammal (mamm), Laboratory Procedure (lbpr), Pharmacologic Substance (phsu), Organic Chemical (orch), Finding (fndg), Research Activity (resa)"
72608,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9",Sildenafil,C0529793,"Organic Chemical (orch)"
72609,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution Two-fold increase in exposure","C0042153, C0457083, C1947944, C0205448, C0332462, C1880834, C0442805, C0274281, C0332157","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Quantitative Concept (qnco), Spatial Concept (spco), Phenomenon or Process (phpr), Functional Concept (ftcn), Injury or Poisoning (inpo), Clinical Attribute (clna)"
72610,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution Two-fold increase in exposure","C0042153, C0457083, C1947944, C0205448, C0332462, C1880834, C0442805, C0274281, C0332157","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Quantitative Concept (qnco), Spatial Concept (spco), Phenomenon or Process (phpr), Functional Concept (ftcn), Injury or Poisoning (inpo), Clinical Attribute (clna)"
72611,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Monitor for sildenafil toxicity (see   ).
                                        Pharmacokinetics
                              12.3
                           ","C0030695, C0150369, C0181904, C0596972, C1521743, C1704646, C0529793, C0040539, C0600688, C0042789, C1947903, C0031327, C0031328, C0450371","Health Care Activity (hlca), Health Care Activity (hlca), Medical Device (medd), Medical Device (medd), Professional or Occupational Group (prog), Manufactured Object (mnob), Organic Chemical (orch), Qualitative Concept (qlco), Injury or Poisoning (inpo), Organism Function (orgf), Activity (acty), Physiologic Function (phsf), Functional Concept (ftcn), Organism Attribute (orga)"
72612,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Monitor for sildenafil toxicity (see   ).
                                        Pharmacokinetics
                              12.3
                           ","C0030695, C0150369, C0181904, C0596972, C1521743, C1704646, C0529793, C0040539, C0600688, C0042789, C1947903, C0031327, C0031328, C0450371","Health Care Activity (hlca), Health Care Activity (hlca), Medical Device (medd), Medical Device (medd), Professional or Occupational Group (prog), Manufactured Object (mnob), Organic Chemical (orch), Qualitative Concept (qlco), Injury or Poisoning (inpo), Organism Function (orgf), Activity (acty), Physiologic Function (phsf), Functional Concept (ftcn), Organism Attribute (orga)"
72613,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9",Duloxetine,C0245561,"Organic Chemical (orch)"
72614,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Avoid Use Five-fold increase in duloxetine exposure
                                        
                              
                           ","C0042153, C0457083, C1947944, C0205451, C0332462, C1880834, C0442805, C0245561, C0274281, C0332157","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Quantitative Concept (qnco), Spatial Concept (spco), Phenomenon or Process (phpr), Functional Concept (ftcn), Organic Chemical (orch), Injury or Poisoning (inpo), Clinical Attribute (clna)"
72615,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Avoid Use Five-fold increase in duloxetine exposure
                                        
                              
                           ","C0042153, C0457083, C1947944, C0205451, C0332462, C1880834, C0442805, C0245561, C0274281, C0332157","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Quantitative Concept (qnco), Spatial Concept (spco), Phenomenon or Process (phpr), Functional Concept (ftcn), Organic Chemical (orch), Injury or Poisoning (inpo), Clinical Attribute (clna)"
72616,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","If unavoidable, monitor for duloxetine toxicity","C0030695, C0150369, C0181904, C0596972, C1521743, C1704646, C0245561, C0040539, C0600688","Health Care Activity (hlca), Health Care Activity (hlca), Medical Device (medd), Medical Device (medd), Professional or Occupational Group (prog), Manufactured Object (mnob), Organic Chemical (orch), Qualitative Concept (qlco), Injury or Poisoning (inpo)"
72617,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","If unavoidable, monitor for duloxetine toxicity","C0030695, C0150369, C0181904, C0596972, C1521743, C1704646, C0245561, C0040539, C0600688","Health Care Activity (hlca), Health Care Activity (hlca), Medical Device (medd), Medical Device (medd), Professional or Occupational Group (prog), Manufactured Object (mnob), Organic Chemical (orch), Qualitative Concept (qlco), Injury or Poisoning (inpo)"
72618,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Caffeine/Xanthine Derivatives","C0006644, C1718515, C3541953, C3541954","Organic Chemical (orch), Biologically Active Substance (bacs), Organic Chemical (orch), Organic Chemical (orch)"
72619,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution Reduced clearance resulting in elevated levels and prolongation of serum half-life","C0042153, C0457083, C1947944, C0392756, C0449297, C1382187, C2825073, C0678226, C0205250, C3163633, C0441889, C0229671, C1546774, C1550100, C0018517","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Qualitative Concept (qlco), Qualitative Concept (qlco), Clinical Attribute (clna), Natural Phenomenon or Process (npop), Functional Concept (ftcn), Qualitative Concept (qlco), Qualitative Concept (qlco), Qualitative Concept (qlco), Body Substance (bdsu), Intellectual Product (inpr), Body Substance (bdsu), Temporal Concept (tmco)"
72620,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Use with caution Reduced clearance resulting in elevated levels and prolongation of serum half-life","C0042153, C0457083, C1947944, C0392756, C0449297, C1382187, C2825073, C0678226, C0205250, C3163633, C0441889, C0229671, C1546774, C1550100, C0018517","Functional Concept (ftcn), Functional Concept (ftcn), Intellectual Product (inpr), Qualitative Concept (qlco), Qualitative Concept (qlco), Clinical Attribute (clna), Natural Phenomenon or Process (npop), Functional Concept (ftcn), Qualitative Concept (qlco), Qualitative Concept (qlco), Qualitative Concept (qlco), Body Substance (bdsu), Intellectual Product (inpr), Body Substance (bdsu), Temporal Concept (tmco)"
72621,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Ciprofloxacin inhibits the formation of paraxanthine after caffeine administration (or pentoxifylline containing products). Monitor for xanthine toxicity and adjust dose as necessary.","C0008809, C0018790, C0028778, C0233660, C0237477, C0332206, C0392351, C0521111, C1533157, C1706084, C2828370, C3811660, C0220781, C0439634, C1522492, C0044060, C0006644, C0001554, C1533734, C0030899, C0332256, C2700400, C1514468, C0030695, C0150369, C0181904, C0596972, C1521743, C1704646, C0043314, C0043318, C0040539, C0600688, C0178602, C0869039, C1114758","Organic Chemical (orch), Disease or Syndrome (dsyn), Pathologic Function (patf), Mental or Behavioral Dysfunction (mobd), Temporal Concept (tmco), Functional Concept (ftcn), Governmental or Regulatory Activity (gora), Qualitative Concept (qlco), Substance (sbst), Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Biologic Function (biof), Spatial Concept (spco), Functional Concept (ftcn), Organic Chemical (orch), Organic Chemical (orch), Occupational Activity (ocac), Therapeutic or Preventive Procedure (topp), Organic Chemical (orch), Functional Concept (ftcn), Activity (acty), Entity (enty), Health Care Activity (hlca), Health Care Activity (hlca), Medical Device (medd), Medical Device (medd), Professional or Occupational Group (prog), Manufactured Object (mnob), Biologically Active Substance (bacs), Biologically Active Substance (bacs), Qualitative Concept (qlco), Injury or Poisoning (inpo), Quantitative Concept (qnco), Quantitative Concept (qnco), Clinical Attribute (clna)"
72622,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","Ciprofloxacin inhibits the formation of paraxanthine after caffeine administration (or pentoxifylline containing products). Monitor for xanthine toxicity and adjust dose as necessary.","C0008809, C0018790, C0028778, C0233660, C0237477, C0332206, C0392351, C0521111, C1533157, C1706084, C2828370, C3811660, C0220781, C0439634, C1522492, C0044060, C0006644, C0001554, C1533734, C0030899, C0332256, C2700400, C1514468, C0030695, C0150369, C0181904, C0596972, C1521743, C1704646, C0043314, C0043318, C0040539, C0600688, C0178602, C0869039, C1114758","Organic Chemical (orch), Disease or Syndrome (dsyn), Pathologic Function (patf), Mental or Behavioral Dysfunction (mobd), Temporal Concept (tmco), Functional Concept (ftcn), Governmental or Regulatory Activity (gora), Qualitative Concept (qlco), Substance (sbst), Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Biologic Function (biof), Spatial Concept (spco), Functional Concept (ftcn), Organic Chemical (orch), Organic Chemical (orch), Occupational Activity (ocac), Therapeutic or Preventive Procedure (topp), Organic Chemical (orch), Functional Concept (ftcn), Activity (acty), Entity (enty), Health Care Activity (hlca), Health Care Activity (hlca), Medical Device (medd), Medical Device (medd), Professional or Occupational Group (prog), Manufactured Object (mnob), Biologically Active Substance (bacs), Biologically Active Substance (bacs), Qualitative Concept (qlco), Injury or Poisoning (inpo), Quantitative Concept (qnco), Quantitative Concept (qnco), Clinical Attribute (clna)"
72623,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","
                              Drug(s) Affecting Pharmacokinetics of Ciprofloxacin Tablets, USP
                           ","C0013227, C1254351, C0392760, C1314939, C0031327, C0031328, C0008809, C0039225, C1656373, C1706444, C3542434","Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Functional Concept (ftcn), Functional Concept (ftcn), Physiologic Function (phsf), Functional Concept (ftcn), Organic Chemical (orch), Biomedical or Dental Material (bodm), Molecular Function (moft), Health Care Related Organization (hcro), Intellectual Product (inpr)"
72624,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","
                              Drug(s) Affecting Pharmacokinetics of Ciprofloxacin Tablets, USP
                           ","C0013227, C1254351, C0392760, C1314939, C0031327, C0031328, C0008809, C0039225, C1656373, C1706444, C3542434","Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Functional Concept (ftcn), Functional Concept (ftcn), Physiologic Function (phsf), Functional Concept (ftcn), Organic Chemical (orch), Biomedical or Dental Material (bodm), Molecular Function (moft), Health Care Related Organization (hcro), Intellectual Product (inpr)"
72625,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","
                              Drug(s) Affecting Pharmacokinetics of Ciprofloxacin Tablets, USP
                           ","C0013227, C1254351, C0392760, C1314939, C0031327, C0031328, C0008809, C0039225, C1656373, C1706444, C3542434","Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Functional Concept (ftcn), Functional Concept (ftcn), Physiologic Function (phsf), Functional Concept (ftcn), Organic Chemical (orch), Biomedical or Dental Material (bodm), Molecular Function (moft), Health Care Related Organization (hcro), Intellectual Product (inpr)"
72626,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","
                              Drug(s) Affecting Pharmacokinetics of Ciprofloxacin Tablets, USP
                           ","C0013227, C1254351, C0392760, C1314939, C0031327, C0031328, C0008809, C0039225, C1656373, C1706444, C3542434","Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Functional Concept (ftcn), Functional Concept (ftcn), Physiologic Function (phsf), Functional Concept (ftcn), Organic Chemical (orch), Biomedical or Dental Material (bodm), Molecular Function (moft), Health Care Related Organization (hcro), Intellectual Product (inpr)"
72627,abafd0ad-cda3-4464-a6aa-18e77a364232,"Table 9","
                              Drug(s) Affecting Pharmacokinetics of Ciprofloxacin Tablets, USP
                           ","C0013227, C1254351, C0392760, C1314939, C0031327, C0031328, C0008809, C0039225, C1656373, C1706444, C3542434","Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Functional Concept (ftcn), Functional Concept (ftcn), Physiologic Function (phsf), Functional Concept (ftcn), Organic Chemical (orch), Biomedical or Dental Material (bodm), Molecular Function (moft), Health Care Related Organization (hcro), Intellectual Product (inpr)"
